Name,GDP,Population(Million)
USA,21427700,328.20
China,14342902.84,1439.30
Japan,5081769.542,126.30
Germany,3845630.031,83.02
India,2875142.315,1380.00
UK,2827113.185,66.65
France,2715518.274,67.06
Italy,2001244.392,60.36
Brazil,1839758.041,211.00
Canada,1736425.63,37.59
Russia,1699876.579,144.40
South Korea,1642383.217,51.71
Spain,1394116.311,46.94
Australia,1392680.589,25.36
Mexico,1258286.717,127.60
Indonesia,1119190.781,270.60
Netherlands,909070.3952,17.28
Saudi Arabia,792966.8382,34.27
Turkey,754411.7082,82.00
Switzerland,703082.4354,8.55
Poland,592164.4007,37.97
Thailand,543649.9762,69.63
Sweden,530832.9087,10.23
Belgium,529606.7104,11.46
Argentina,449663.447,44.94
Nigeria,448120.4289,201.00
Austria,446314.7395,8.86
Iran,445345.2821,82.91
United Arab Emirates,421142.2679,9.77
Norway,403336.3636,5.33
Israel,395098.6661,9.05
Ireland,388698.7113,4.90
Philippines,376795.5087,108.10
Singapore,372062.5275,5.70
Hong Kong,366029.5563,7.51
Malaysia,364701.5178,31.95
South Africa,351431.6492,58.56
Denmark,348078.0185,5.81
Colombia,323802.8081,50.34
"Egypt, Arab Rep.",303175.1276,100.40
Bangladesh,302571.2541,163.00
Chile,282318.1597,18.95
Pakistan,278221.906,216.00
Finland,268761.2014,5.52
Vietnam,261921.2448,96.46
Romania,250077.444,19.41
Czech Republic,246489.2455,10.65
Portugal,237686.0756,10.28
Iraq,234094.0429,39.31
Peru,226848.0508,32.51
Greece,209852.7615,10.72
New Zealand,206928.7655,4.92
Qatar,183466.2088,2.83
Kazakhstan,180161.7412,18.51
Algeria,169988.2364,43.05
Hungary,160967.1575,9.77
Ukraine,153781.0691,44.39
Kuwait,134761.1989,4.21
Morocco,118725.2796,36.47
Ecuador,107435.665,17.37
Slovak Republic,105422.305,5.45
Puerto Rico,104988.6,3.19
Cuba,100023,11.33
Ethiopia,96107.6624,112.10
Kenya,95503.08854,52.57
Angola,94635.41587,31.83
Dominican Republic,88941.29826,10.74
Sri Lanka,84008.78376,21.80
Oman,76983.09493,4.97
Guatemala,76710.38588,16.60
Myanmar,76085.85262,54.05
Luxembourg,71104.91911,0.61
Bulgaria,67927.17974,7.00
Ghana,66983.63422,30.42
Panama,66800.8,4.25
Tanzania,63177.06817,58.01
Belarus,63080.45702,9.47
Costa Rica,61773.94417,5.05
Croatia,60415.55304,4.08
Côte d'Ivoire,58792.20564,25.72
Uzbekistan,57921.28644,33.58
Uruguay,56045.91295,3.46
Lithuania,54219.3156,2.79
"Macao SAR, China",53859.11654,0.64
Slovenia,53742.15952,2.08
Lebanon,53367.04227,6.86
Libya,52076.25095,6.78
Serbia,51409.16735,6.95
Azerbaijan,48047.64706,10.02
Jordan,43743.66197,10.10
Bolivia,40895.32287,11.51
Turkmenistan,40761.14286,5.94
Tunisia,38797.70992,11.69
Cameroon,38760.46703,25.88
Bahrain,38574.06915,1.64
Paraguay,38145.28894,7.05
Uganda,34387.22949,44.27
Latvia,34117.20256,1.92
Estonia,31386.94998,1.33
Nepal,30641.3806,28.61
"Yemen, Rep.",27591.26166,29.16
Cambodia,27089.38979,16.49
El Salvador,27022.64,6.45
Honduras,25095.39548,9.75
Papua New Guinea,24969.61143,8.78
Cyprus,24564.64793,0.88
Iceland,24188.03574,0.00
Trinidad and Tobago,24100.20283,1.40
Senegal,23578.08405,16.30
Zambia,23064.72245,17.86
Zimbabwe,21440.7588,14.65
Bosnia and Herzegovina,20047.84843,3.30
Afghanistan,19101.35383,38.04
Sudan,18902.28448,42.81
Botswana,18340.51079,2.30
Lao PDR,18173.83913,7.17
Georgia,17743.19577,3.72
Mali,17510.14117,19.66
Gabon,16657.96023,2.17
Jamaica,16458.07107,2.95
